,P,T,S/kB
75,23.75,2628.8612190452095,5.154332648104455
76,23.8,2631.8032946361604,5.158106862870119
77,23.85,2634.736940170208,5.161861622433177
78,23.9,2637.662209630467,5.165597086821213
79,23.95,2640.5791563344665,5.169313413996683
80,24.0,2643.4878329341495,5.173010759874615
81,24.05,2646.388291415874,5.176689278340045
82,24.1,2649.2805831004107,5.180349121265206
83,24.15,2652.164758642945,5.183990438526488
84,24.2,2655.0408680330765,5.187613378021131
85,24.25,2657.9089605948193,5.191218085683713
86,24.3,2660.769084986601,5.19480470550238
87,24.35,2663.6212892012627,5.198373379534872
88,24.4,2666.4656205660604,5.2019242479242935
89,24.45,2669.302125742665,5.205457448914714
90,24.5,2672.130850727159,5.208973118866486
91,24.55,2674.9518408500426,5.212471392271423
92,24.6,2677.7651407762264,5.215952401767699
93,24.65,2680.570794505037,5.219416278154602
94,24.7,2683.3688453702152,5.222863150407049
95,24.75,2686.1593360399156,5.226293145689911
96,24.8,2688.942312160533,5.229706395158469
97,24.85,2691.7178234180606,5.23310303562011
98,24.9,2694.4859132901806,5.236483193269095
99,24.95,2697.2466246651534,5.239846992644419
100,25.0,2700.0,5.243194556892676
101,26.11,2759.3188254003776,5.313568735492085
102,27.22,2815.448470871834,5.377159555155507
103,28.33,2868.7639411825294,5.434962229470877
104,29.44,2919.6428925006758,5.487870087459528
105,30.55,2968.2517833500474,5.536403636051037
106,31.66,3014.732709613877,5.58100102385981
107,32.77,3059.221348964053,5.622051703816207
108,33.88,3101.846960861118,5.659902806754159
109,34.99,3142.732386554272,5.694864456423148
110,36.1,3181.9940490813706,5.727214226282137
111,37.21,3219.7419532689237,5.757200895993239
112,38.32,3256.0796857320975,5.785047633066925
113,39.43,3291.104414874715,5.810954700055309
114,40.54,3324.906890889254,5.835101768190989
115,41.650000000000006,3357.5714457568483,5.857649903071912
116,42.760000000000005,3389.175993247286,5.878743275898342
117,43.870000000000005,3419.792028919013,5.898510644133737
118,44.980000000000004,3449.4846301191296,5.917066637729772
119,46.09,3478.3124559833923,5.934512880806389
120,47.2,3506.3277474362135,5.950938973590071
121,48.31,3533.5763271906603,5.96642335524236
122,49.42,3560.097599748457,5.981034064767017
123,50.53,3585.924551399982,5.994829414321388
124,51.64,3611.083750224271,6.007858586861222
125,52.75,3635.6009762784074,6.020164724349184
126,53.86,3659.5030601039093,6.031788693679696
127,54.97,3682.8092686788923,6.042766662297138
128,56.08,3705.538366328266,6.05313267037801
129,57.190000000000005,3727.708691687809,6.062918799745037
130,58.300000000000004,3749.3381577041696,6.072155302134356
131,59.410000000000004,3770.4442516348668,6.080870717271129
132,60.52,3791.0440350482886,6.089091981675522
133,61.63,3811.1541438236927,6.096844529026727
134,62.74,3830.7907881512074,6.1041523828294775
135,63.85,3849.9697525318293,6.111038242053795
136,64.96000000000001,3868.7063957774267,6.117523560353261
137,66.07,3887.0156510107354,6.123628619408853
138,67.18,3904.912025665363,6.129372596893622
139,68.29,3922.4096014857864,6.134773629507075
