,P,T,S/kB
146,76.06,3701.6694832015573,5.832401245526182
147,77.17,3715.2135614146887,5.835848081016235
148,78.28,3728.4904661005025,5.839066392894452
149,79.39000000000001,3741.509210885765,5.842067213008821
150,80.5,3754.2784188567525,5.844860949319188
151,81.61000000000001,3766.8063225592596,5.84745740651817
152,82.72,3779.100763998592,5.849865805204757
153,83.83000000000001,3791.169194639569,5.8520947997158554
154,84.94,3803.0186754065235,5.854152494719389
155,86.05000000000001,3814.6558766833023,5.856046460661806
156,87.16,3826.087078313265,5.857783748155475
157,88.27000000000001,3837.3181695992866,5.859370901384253
158,89.38000000000001,3848.354649303754,5.860813970599042
159,90.49000000000001,3859.2016256485667,5.862118523769102
160,91.60000000000001,3869.8638163151404,5.863289657449298
161,92.71000000000001,3880.345548444402,5.864332006918292
162,93.82000000000001,3890.6507586367943,5.86524975563793
163,94.93,3900.7817011314223,5.8660453703652
164,96.04,3910.739796421033,5.866720461903811
165,97.15,3920.5286272879107,5.8672787352782505
166,98.26,3930.1517391632983,5.867723810888587
167,99.37,3939.6126094092847,5.868059197290071
168,100.48,3948.914647318806,5.868288294187233
169,101.59,3958.0611941156412,5.868414395274467
170,102.7,3967.0555229544148,5.868440690930931
171,103.81,3975.900838920596,5.868370270777886
172,104.92,3984.600279030499,5.86820612610245
173,106.03,3993.156912231286,5.867951152161237
174,107.14,4001.5737394009598,5.86760815036198
175,108.25000000000001,4009.853693348372,5.8671798303347344
176,109.36000000000001,4017.999638813217,5.866668811896248
177,110.47000000000001,4026.014372466036,5.866077626913137
178,111.58000000000001,4033.9006229082133,5.865408721068926
179,112.69000000000001,4041.66105067198,5.864664455539751
180,113.80000000000001,4049.2982482204134,5.863847108583259
181,114.91000000000001,4056.8147399474315,5.862958877044976
182,116.02000000000001,4064.212982177802,5.86200187778626
183,117.13000000000001,4071.4953631671365,5.860978149037617
184,118.24000000000001,4078.66420310189,5.859889651681146
185,119.35000000000001,4085.721754099365,5.858738270465453
186,120.46000000000001,4092.670200207707,5.857525815156405
187,121.57000000000001,4099.5116574059075,5.85625402162625
188,122.68,4106.2481736038035,5.854924552886938
189,123.79,4112.881728642076,5.853539000063973
190,124.9,4119.414234292254,5.852098883321288
191,126.01,4125.847534256707,5.85060565273421
192,127.12,4132.183404168653,5.849060689114964
193,128.23000000000002,4138.4235515921555,5.8474653047925615
194,129.34,4144.569616022121,5.845820744349271
195,130.45,4150.623168884301,5.844128185315623
196,131.56,4156.585713535294,5.842388738825915
197,132.67000000000002,4162.458685262543,5.840603450235926
198,133.78000000000003,4168.2434512843365,5.838773299704606
199,134.89000000000001,4173.941310749805,5.836899202741286
200,136.0,4179.553494738928,5.834982010719962
